Nombre                        TipoDato  Valor                         Longitud
_0                            Int       0                             -
_1                            Int       1                             -
_2                            Int       2                             -
_3                            Int       3                             -
_4                            Int       4                             -
_9                            Int       9                             -
_HolaMundo                    String    HolaMundo                     9
_ResultadoPar                 String    ResultadoPar                  12
altura                        Float     -                             -
nombre                        String    -                             -
res                           Int       -                             -
x                             Int       -                             -
